lemma,frequency
decir,399
querer,279
pasar,271
cosa,221
ver,201
año,180
tener,179
momento,165
sentir,157
hablar,137
estar,134
dar,127
hijo,125
comer,123
mamá,119
padre,110
vida,110
empezar,109
tipo,106
tiempo,103
entender,103
venir,102
viste,102
hacer,101
poner,99
casa,98
pensar,95
gustar,93
familia,93
tema,89
mirar,83
dejar,77
persona,75
gente,73
poder,72
salir,70
miedo,70
hija,67
quedar,66
niño,63
jugar,61
vivir,60
importante,57
suceder,56
situación,55
llegar,55
papá,54
sacar,54
hora,53
amigo,53
madre,52
mundo,52
montón,52
mes,52
acompañar,52
embarazado,51
contar,49
chico,47
bebar,47
pedir,46
celular,46
caer,46
buscar,45
volver,45
mañana,43
difícil,43
obvio,42
comida,42
culpa,41
leche,41
seguir,40
realidad,40
dormir,39
alimentación,38
cambiar,38
tomar,38
llamar,38
lugar,38
llevar,37
caso,36
red,35
comar,34
mira,34
haber,34
llorar,34
realmente,34
nacer,34
pañal,34
preguntar,33
tratar,33
perfecto,33
aprender,33
trabajar,33
mujer,33
escuchar,32
che,32
encantar,32
pantalla,32
totalmente,31
pregunta,30
tecnología,30
embarazo,30
pareja,30
charla,29
saber,29
acá,29
charlar,29
tranquilo,29
necesitar,28
aparecer,28
teta,28
punto,28
noche,28
gracias,27
jardín,27
problema,27
principio,27
terminar,27
amiga,27
marido,27
decer,26
ayudar,26
obviamente,26
cabeza,26
cama,26
malo,25
sos,25
costar,25
palabra,25
vuelta,25
perder,25
aparte,24
poquito,23
niña,23
gana,23
intentar,23
social,23
amar,23
sentar,23
cuerpo,23
amor,23
conocer,22
producto,22
resolver,22
edad,22
fuerte,22
capaz,22
feliz,21
diferencia,21
tanto,21
foto,21
tocar,21
positivo,21
mandar,21
agarrar,21
colegio,20
vas,20
imaginar,20
pie,20
estár,20
rol,20
generar,19
normal,19
adolescencia,19
loco,19
tratamiento,19
decisión,19
enseñar,19
forma,19
digital,19
viejo,19
video,19
despertar,19
sentido,18
respuesta,18
información,18
trabajo,18
lindo,18
súper,18
golpe,18
nati,18
base,17
adulto,17
distinto,17
duda,17
alguien,17
maternidad,17
desafío,17
paternidad,17
mano,17
listo,17
futuro,17
pelo,17
chiquito,16
muchísimo,16
meter,16
paper,16
semana,16
espectacular,16
fútbol,16
criar,16
crianza,16
estímulo,16
desarrollo,16
vínculo,16
jurar,16
terapia,16
real,15
chica,15
fórmula,15
justo,15
crisis,15
fondo,15
recién,15
cambio,15
panza,15
baño,15
novio,15
gracia,14
suerte,14
idea,14
arrancar,14
proteína,14
estudio,14
estudiar,14
único,14
infancia,14
educación,14
lactancia,14
factor,14
ojo,14
libro,14
proceso,14
historia,14
minuto,14
terrible,14
víctima,14
experiencia,14
serio,14
límite,13
galletita,13
fruta,13
agua,13
camino,13
bajar,13
fundamental,13
nena,13
probar,13
menor,13
paciencia,13
literalmente,13
cantidad,13
dijistir,13
equipo,13
claramente,13
servir,13
olvidar,13
herramienta,13
justamente,13
ester,13
piso,13
odiar,13
responder,12
medicina,12
saludable,12
importar,12
faltar,12
perdón,12
cuestión,12
traer,12
mentira,12
mental,12
leer,12
youtube,12
adolescente,12
cerebro,12
seguridad,12
crees,12
etapa,12
conectar,12
pelear,12
esperar,12
grooming,12
bañar,12
rutina,12
test,12
viaje,12
intervenir,12
tadeo,12
placer,11
alimento,11
valer,11
materno,11
vaca,11
médico,11
molestar,11
salud,11
atravesar,11
vídeo,11
compartir,11
tremendo,11
vos,11
permanentemente,11
raro,11
romper,11
cultura,11
presente,11
elegir,11
lograr,11
sueño,11
favor,11
doler,11
tirar,11
afectar,11
quimio,11
ocupacional,11
sinceramente,11
levantar,10
humano,10
ser,10
paso,10
filipa,10
sufrir,10
consultorio,10
caminar,10
exacto,10
cerca,10
trasladar,10
seguro,10
buenísimo,10
lejos,10
generación,10
sociedad,10
clase,10
mensaje,10
pequeño,10
evento,10
manejar,10
laburar,10
parar,10
imagínatar,10
siento,10
ovario,10
llanto,10
parto,10
preocupar,9
dalar,9
educar,9
primero,9
nivel,9
rato,9
abrir,9
divertido,9
siquiera,9
junto,9
entero,9
creer,9
hermano,9
común,9
nene,9
clave,9
auto,9
publicar,9
hermoso,9
contento,9
afuero,9
ojalá,9
divertir,9
psicóloga,9
laburo,9
plaza,9
analógicar,9
juegos,9
grupo,9
empiezar,9
fanático,9
valor,9
capítulo,9
voz,9
emoción,9
terror,9
turbante,9
visita,9
responsabilidad,9
olivia,9
esposa,9
quier,8
fideo,8
marca,8
insistir,8
fácil,8
lleno,8
batalla,8
jugo,8
onda,8
cámara,8
abuelo,8
come,8
pobre,8
hecho,8
beber,8
recomendar,8
riesgo,8
opinión,8
negativo,8
angustia,8
agarrir,8
recibir,8
grabar,8
escúchamir,8
usar,8
relación,8
contexto,8
vista,8
consejo,8
crecer,8
actividad,8
sensación,8
época,8
ganar,8
habitación,8
club,8
contacto,8
plata,8
correr,8
serie,8
natural,8
agus,8
gracioso,8
duro,8
rápido,8
fiesta,8
curso,8
andar,8
hospital,8
cesárea,8
acompañamiento,8
nutrir,7
penser,7
verdura,7
azúcar,7
cero,7
felicidad,7
interesante,7
acabar,7
chiquitito,7
lamentablemente,7
mamir,7
abuela,7
acorder,7
pecho,7
concepto,7
consumir,7
temor,7
vender,7
echar,7
enfermo,7
pensamiento,7
aumento,7
resultar,7
película,7
color,7
sentado,7
medio,7
diagnósticar,7
razón,7
pibe,7
general,7
hacking,7
funcionar,7
impactar,7
show,7
público,7
capacidad,7
sentimiento,7
boludo,7
ciudad,7
bailar,7
comentario,7
ves,7
juntar,7
aceptar,7
físico,7
falta,7
cuidar,7
reir,7
dibujo,7
vacación,7
dibujar,7
ocupar,7
seguramente,7
peso,7
necesario,7
corazón,7
superar,7
dio,7
cagar,7
bola,7
cáncer,7
óvulo,7
pintado,7
existir,6
siglo,6
enfermedad,6
animal,6
preparar,6
plato,6
pico,6
chocolate,6
profesión,6
desayunar,6
subir,6
ayer,6
cara,6
deber,6
genial,6
ciencia,6
tuvistar,6
curar,6
médicar,6
profesional,6
repetir,6
atención,6
teléfonar,6
movimiento,6
vayar,6
argentino,6
mitad,6
alergia,6
sistema,6
acordar,6
computadora,6
recordar,6
básicamente,6
eje,6
dolor,6
respetar,6
inteligencia,6
permitir,6
exposición,6
locura,6
quitar,6
matar,6
combi,6
morir,6
preparado,6
crear,6
pedo,6
lastimar,6
bienestar,6
deporte,6
transitar,6
espacio,6
obligar,6
regalo,6
sumar,6
relacionar,6
sexual,6
cuidado,6
acercar,6
angustiar,6
imagen,6
allá,6
juego,6
cosita,6
canal,6
egipto,6
preferir,6
fluir,6
deseo,6
ayuda,6
bienvenido,6
juzgar,6
laboral,6
considerar,6
vulnerable,6
estuvir,6
parecer,6
desear,6
pelea,6
notar,6
cerrar,6
coma,6
rarísimo,6
surgir,6
puesto,6
locar,6
juro,6
farmacia,6
cortar,6
jodido,6
armar,6
caca,6
carga,6
colecho,6
fiebre,6
cagada,6
pegar,6
prober,6
lavar,6
cansado,6
mono,6
carmen,6
peluca,6
chola,6
lunes,6
cotidiano,6
sostener,6
presencia,6
alimentar,5
trar,5
apuesta,5
vivo,5
apostar,5
paquete,5
ideal,5
super,5
mirada,5
gaseosa,5
alcohol,5
consumo,5
importancia,5
mantener,5
trastorno,5
alimentario,5
rico,5
alto,5
exigente,5
parir,5
básico,5
etcétera,5
calle,5
tele,5
inevitable,5
habla,5
ansiedad,5
bárbaro,5
pediatría,5
incorporar,5
equilibrio,5
convertir,5
amigar,5
grito,5
pena,5
aprendizaje,5
gritar,5
decidir,5
frente,5
mierda,5
cansar,5
calentar,5
frenar,5
mesa,5
rama,5
esperanza,5
negar,5
personal,5
playa,5
opinar,5
blanco,5
heavy,5
visto,5
salida,5
aclarar,5
pleno,5
quer,5
tremendar,5
pintar,5
solución,5
gordo,5
propósitar,5
depender,5
atento,5
identificar,5
puntual,5
fuar,5
suponer,5
paterno,5
golpear,5
dinámica,5
puerperio,5
absolutamente,5
confianza,5
analizar,5
confiar,5
enseñanza,5
parado,5
merecer,5
abajo,5
devolución,5
hicar,5
pipe,5
energía,5
cochecito,5
interno,5
asustar,5
mente,5
metáfora,5
compañero,5
faja,5
usé,5
mayoría,5
stock,5
aplicación,5
guau,5
cocinar,5
detectar,5
operar,5
válido,5
retar,5
cirir,5
ciro,5
pis,5
consulta,5
hamaca,5
germán,5
padecer,5
independencia,5
paula,5
obviir,4
psiquismo,4
premio,4
licuado,4
soda,4
pésimar,4
cortisol,4
soltar,4
queso,4
helado,4
verano,4
recuerdo,4
combinación,4
unir,4
posibilidad,4
fantástico,4
selectivo,4
enojar,4
internet,4
infantil,4
reparar,4
pensá,4
escucha,4
recomeir,4
autista,4
vacuna,4
paciente,4
plataforma,4
referir,4
lado,4
fíjate,4
plan,4
respirar,4
cristal,4
dibujito,4
penitencia,4
lindar,4
huevo,4
nacido,4
sepa,4
informático,4
computación,4
curiosidad,4
referer,4
hacker,4
visión,4
hablábar,4
chino,4
cabo,4
agradecido,4
artificial,4
emocional,4
literal,4
privilegio,4
nenir,4
durar,4
línea,4
perfil,4
libre,4
recital,4
mejorar,4
bolsillo,4
guardar,4
conocí,4
salvar,4
secundario,4
sesión,4
bolich,4
conciencia,4
tonto,4
demorar,4
saco,4
intento,4
discutir,4
educativo,4
marcar,4
alcanzar,4
profundo,4
dedo,4
violento,4
absoluto,4
comentar,4
interesar,4
tibio,4
contestar,4
sencillo,4
hotel,4
atrapar,4
piba,4
agresor,4
investigar,4
mágico,4
dios,4
estudiante,4
blanca,4
partido,4
emocionar,4
teoría,4
coincidir,4
querido,4
casar,4
verla,4
comunicar,4
humor,4
directamente,4
fantasía,4
mínimo,4
ducha,4
comunicación,4
familiar,4
error,4
soñer,4
sexualidad,4
creser,4
acerca,4
galleta,4
arroz,4
empieza,4
seguí,4
marco,4
posparto,4
horario,4
divino,4
estabar,4
prioridad,4
coincido,4
trauma,4
atender,4
regalar,4
términar,4
aportar,4
conversar,4
chaer,4
partir,4
maquillar,4
aspecto,4
zona,4
mover,4
prestar,4
reír,4
emocionalmente,4
dormido,4
gimnasio,4
ocurrir,4
diario,4
quimiar,4
opción,4
congelar,4
bahía,4
hamburguesa,4
vaginal,4
chat,4
respetuoso,4
cafar,4
joda,4
navidad,4
frase,4
aprendar,4
bebito,4
proveedor,4
euge,4
desempeño,4
sensorial,4
reto,4
principal,4
organizar,4
habilidad,4
tono,4
percibir,4
mito,4
patear,4
borro,4
oli,4
carro,4
encargar,3
invitar,3
lucha,3
respeto,3
perro,3
expectativa,3
siquismo,3
pensado,3
pata,3
serial,3
caja,3
ratito,3
permanente,3
varón,3
comíar,3
acabas,3
medida,3
lógicar,3
hormona,3
dijimos,3
bastar,3
amiguita,3
llego,3
almuerzo,3
variado,3
tranquilidad,3
perfección,3
salar,3
tranquilizar,3
diferenciar,3
luz,3
estudiado,3
probado,3
ofrecer,3
prácticamente,3
selectividad,3
ingeniero,3
bronco,3
medioambiental,3
campaña,3
experto,3
componente,3
robar,3
peligroso,3
corto,3
vivencia,3
chance,3
joven,3
cine,3
avión,3
fumar,3
tién,3
arreglar,3
peli,3
pediatra,3
argentina,3
manera,3
cólico,3
turno,3
exactamente,3
pibir,3
hackear,3
universidad,3
conversación,3
progresividad,3
decena,3
requerir,3
aplicar,3
negro,3
famoso,3
moto,3
cerrado,3
crecimiento,3
significar,3
conexión,3
saca,3
potenciar,3
elijar,3
intención,3
absorber,3
invitado,3
nén,3
mier,3
músico,3
calidad,3
luna,3
reacción,3
cole,3
unidos,3
pornografía,3
criticar,3
ruso,3
piel,3
apoyar,3
boliche,3
dispuesto,3
medir,3
cuestionar,3
whatsapp,3
guita,3
impacto,3
causar,3
ecosistema,3
altura,3
estadísticamente,3
aula,3
inicial,3
extender,3
proyecto,3
chocar,3
sobreprotección,3
ansiós,3
plantear,3
profundizar,3
espada,3
juguete,3
violencia,3
terreno,3
opino,3
ruido,3
postura,3
caes,3
poníar,3
